transaction_id,account_id,transaction_amount,transaction_date,transaction_type,location,device_id,ip_address,merchant_id,channel,customer_age,customer_occupation,transaction_duration,login_attempts,account_balance,previous_transaction_date,transaction_hour,day_of_week,anomaly_score,fraud_flag,llm_explanation
TX000001,AC00128,14.09,04-11-2023 16:29,Debit,San Diego,D000380,162.198.218.92,M015,ATM,70,Doctor,81,1,5112.21,11-04-2024 08:08,16,5,0.153757077,0,
TX000003,AC00019,126.29,07-10-2023 18:16,Debit,Mesa,D000235,215.97.143.157,M009,Online,19,Student,56,1,1122.35,11-04-2024 08:07,18,5,0.095997785,0,
TX000004,AC00070,184.5,05-05-2023 16:32,Debit,Raleigh,D000187,200.13.225.150,M002,Online,26,Student,25,1,8569.06,11-04-2024 08:09,16,4,0.134124975,0,
TX000006,AC00393,92.15,04-03-2023 17:15,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,18,Student,172,1,781.68,11-04-2024 08:06,17,5,0.134955784,0,
TX000008,AC00069,171.42,05-08-2023 17:47,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,67,Retired,291,1,2796.24,11-04-2024 08:10,17,5,0.096989164,0,
TX000012,AC00459,190.02,02-06-2023 17:30,Debit,Memphis,D000589,116.175.11.222,M030,Online,21,Student,173,1,1528.81,11-04-2024 08:07,17,4,0.159804035,0,
TX000013,AC00392,494.52,06-07-2023 17:21,Credit,Mesa,D000032,210.98.198.143,M057,Branch,24,Student,111,1,1620.02,11-04-2024 08:08,17,3,0.175161531,0,
TX000016,AC00270,465.45,12-12-2023 16:23,Debit,Denver,D000466,221.169.49.152,M025,ATM,36,Engineer,129,1,3465.54,11-04-2024 08:12,16,1,0.147985373,0,
TX000020,AC00285,71.48,06-08-2023 18:18,Credit,Columbus,D000039,120.170.93.69,M039,Online,18,Student,169,1,6568.59,11-04-2024 08:09,18,6,0.065362178,0,
TX000022,AC00014,85.77,08-11-2023 18:31,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,38,Doctor,93,1,9146.19,11-04-2024 08:08,18,2,0.113118782,0,
TX000023,AC00095,52.2,06-06-2023 18:54,Debit,Atlanta,D000142,133.63.96.21,M022,Online,39,Engineer,120,1,8974.93,11-04-2024 08:07,18,1,0.092474627,0,
TX000024,AC00453,345.84,05-02-2023 18:25,Debit,Fort Worth,D000162,191.82.103.198,M083,Online,22,Student,142,3,1402.5,11-04-2024 08:07,18,6,0.010245625,0,
TX000025,AC00241,145.54,03-02-2023 16:43,Debit,Raleigh,D000036,119.186.154.104,M028,Online,21,Student,96,1,1930.96,11-04-2024 08:07,16,4,0.177631829,0,
TX000032,AC00291,59.12,02-06-2023 16:24,Debit,Baltimore,D000282,187.199.178.27,M053,ATM,29,Doctor,257,1,9823.64,11-04-2024 08:06,16,4,0.11891464,0,
TX000038,AC00202,649.28,03-02-2023 17:53,Debit,San Jose,D000448,73.108.76.238,M074,ATM,75,Retired,137,1,4875.86,11-04-2024 08:11,17,4,0.128491351,0,
TX000039,AC00478,795.31,10-12-2023 17:07,Debit,Mesa,D000077,49.29.37.185,M048,ATM,66,Doctor,90,2,7914.88,11-04-2024 08:11,17,6,0.039157946,0,
TX000042,AC00480,34.02,01-09-2023 16:13,Debit,Philadelphia,D000627,109.105.179.186,M046,Online,38,Doctor,19,1,14214.48,11-04-2024 08:11,16,4,0.093003842,0,
TX000044,AC00117,55.32,04-12-2023 16:03,Debit,Tucson,D000197,173.135.78.201,M009,ATM,19,Student,117,1,241.79,11-04-2024 08:08,16,0,0.089031066,0,
